participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started_utc;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.payoff;player.consent_given;player.cumulative_earnings;player.test1_pending_earnings;player.qcm_click_sequence;player.dummy_field;player.treatment;player.phase;player.flower_colors;player.nutrient_choice;player.score_per_flower;player.Vround;player.score_reel;player.noise_applied;player.exploration_flower_pairs_order;player.year_of_birth;player.feedback;group.id_in_subsession;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
6;6jpggikb;55e876f25e4d360012cc283d;0;182;182;flowerfieldtask;Results;2026-02-06 13:25:16.151676;1;;;0.0;6;;0.0;yes;0.05;0.0;"[{""slide"":""5/10"",""text"":""Flower growth based on my nutrient choices"",""correct"":true,""timestamp"":1770384420518},{""slide"":""9/10"",""text"":""The total earnings are calculated by adding the earnings from each round."",""correct"":true,""timestamp"":1770384473804}]";ok;Anomaly no CT;First phase;"[""Orange"", ""Green""]";"[[""Red"", ""Yellow""], [""Blue"", ""Yellow""]]";[0.8, 0.8];0;"[""8"", ""8""]";[null, null];;;;1;1;jh2otyuo;;;;;0
6;6jpggikb;55e876f25e4d360012cc283d;0;182;182;flowerfieldtask;Results;2026-02-06 13:25:16.151676;1;;;0.0;6;;0.0;;0.1;0.0;;ok;Anomaly no CT;First phase;"[""Green"", ""Orange"", ""Orange""]";"[[""Blue"", ""Yellow""], [""Yellow"", ""Red""], [""Red"", """"]]";[0.8, 0.8, 0.3];-1;"[""7"", ""7"", ""2""]";[null, null, null];;;;1;2;jh2otyuo;;;;;0
6;6jpggikb;55e876f25e4d360012cc283d;0;182;182;flowerfieldtask;Results;2026-02-06 13:25:16.151676;1;;;0.0;6;;0.0;;0.19;0.0;;ok;Anomaly no CT;First phase;"[""Orange"", ""Green"", ""Green""]";"[[""Red"", ""Yellow""], [""Blue"", ""Yellow""], [""Blue"", ""Yellow""]]";[0.8, 0.8, 0.8];1;"[""9"", ""9"", ""9""]";[null, null, null];;;;1;3;jh2otyuo;;;;;0
6;6jpggikb;55e876f25e4d360012cc283d;0;182;182;flowerfieldtask;Results;2026-02-06 13:25:16.151676;1;;;0.0;6;;0.0;;0.24;0.0;;ok;Anomaly no CT;First phase;"[""Green"", ""Orange""]";"[[""Yellow"", ""Blue""], [""Red"", ""Yellow""]]";[0.8, 0.8];0;"[""8"", ""8""]";[null, null];;;;1;4;jh2otyuo;;;;;0
6;6jpggikb;55e876f25e4d360012cc283d;0;182;182;flowerfieldtask;Results;2026-02-06 13:25:16.151676;1;;;0.0;6;;0.0;;0.24;0.24;;ok;Anomaly no CT;Test 1;"[""Green"", ""Yellow"", ""Purple"", ""Red"", ""Orange"", ""Blue""]";"[[""Blue"", ""Yellow""], [""Yellow"", """"], [""Red"", ""Blue""], [""Red"", """"], [""Red"", ""Yellow""], [""Blue"", """"]]";[1.6, 1.0, 1.2, 0.6, 1.6, 0.6];1;"[""17"", ""11"", ""13"", ""7"", ""17"", ""7""]";[null, null, null, null, null, null];;;;1;5;jh2otyuo;;;;;0
6;6jpggikb;55e876f25e4d360012cc283d;0;182;182;flowerfieldtask;Results;2026-02-06 13:25:16.151676;1;;;0.0;6;;0.0;;0.27;0.0;;ok;Anomaly no CT;Second phase;"[""Red"", ""Blue""]";"[[""Red"", """"], [""Blue"", """"]]";[0.3, 0.3];1;"[""4"", ""4""]";[null, null];"[[""Red"", ""Blue""], [""Green"", ""Orange""], [""Red"", ""Blue""], [""Orange"", ""Green""], [""Purple"", ""Yellow""], [""Orange"", ""Green""], [""Orange"", ""Green""], [""Purple"", ""Yellow""], [""Green"", ""Orange""], [""Purple"", ""Yellow""], [""Yellow"", ""Purple""], [""Purple"", ""Yellow""], [""Orange"", ""Green""], [""Green"", ""Orange""], [""Green"", ""Orange""], [""Yellow"", ""Purple""], [""Green"", ""Orange""], [""Yellow"", ""Purple""], [""Yellow"", ""Purple""], [""Green"", ""Orange""]]";;;1;6;jh2otyuo;;;;;0
6;6jpggikb;55e876f25e4d360012cc283d;0;182;182;flowerfieldtask;Results;2026-02-06 13:25:16.151676;1;;;0.0;6;;0.0;;0.32;0.0;;ok;Anomaly no CT;Second phase;"[""Green"", ""Orange""]";"[[""Yellow"", ""Blue""], [""Red"", ""Blue""]]";[0.8, 0.6];0;"[""8"", ""6""]";[null, null];"[[""Red"", ""Blue""], [""Green"", ""Orange""], [""Red"", ""Blue""], [""Orange"", ""Green""], [""Purple"", ""Yellow""], [""Orange"", ""Green""], [""Orange"", ""Green""], [""Purple"", ""Yellow""], [""Green"", ""Orange""], [""Purple"", ""Yellow""], [""Yellow"", ""Purple""], [""Purple"", ""Yellow""], [""Orange"", ""Green""], [""Green"", ""Orange""], [""Green"", ""Orange""], [""Yellow"", ""Purple""], [""Green"", ""Orange""], [""Yellow"", ""Purple""], [""Yellow"", ""Purple""], [""Green"", ""Orange""]]";;;1;7;jh2otyuo;;;;;0
6;6jpggikb;55e876f25e4d360012cc283d;0;182;182;flowerfieldtask;Results;2026-02-06 13:25:16.151676;1;;;0.0;6;;0.0;;0.33;0.0;;ok;Anomaly no CT;Second phase;"[""Red"", ""Blue""]";"[[""Red"", """"], [""Blue"", """"]]";[0.3, 0.3];-1;"[""2"", ""2""]";[null, null];"[[""Red"", ""Blue""], [""Green"", ""Orange""], [""Red"", ""Blue""], [""Orange"", ""Green""], [""Purple"", ""Yellow""], [""Orange"", ""Green""], [""Orange"", ""Green""], [""Purple"", ""Yellow""], [""Green"", ""Orange""], [""Purple"", ""Yellow""], [""Yellow"", ""Purple""], [""Purple"", ""Yellow""], [""Orange"", ""Green""], [""Green"", ""Orange""], [""Green"", ""Orange""], [""Yellow"", ""Purple""], [""Green"", ""Orange""], [""Yellow"", ""Purple""], [""Yellow"", ""Purple""], [""Green"", ""Orange""]]";;;1;8;jh2otyuo;;;;;0
6;6jpggikb;55e876f25e4d360012cc283d;0;182;182;flowerfieldtask;Results;2026-02-06 13:25:16.151676;1;;;0.0;6;;0.0;;0.39;0.0;;ok;Anomaly no CT;Second phase;"[""Orange"", ""Green""]";"[[""Red"", ""Yellow""], [""Blue"", ""Yellow""]]";[0.8, 0.8];1;"[""9"", ""9""]";[null, null];"[[""Red"", ""Blue""], [""Green"", ""Orange""], [""Red"", ""Blue""], [""Orange"", ""Green""], [""Purple"", ""Yellow""], [""Orange"", ""Green""], [""Orange"", ""Green""], [""Purple"", ""Yellow""], [""Green"", ""Orange""], [""Purple"", ""Yellow""], [""Yellow"", ""Purple""], [""Purple"", ""Yellow""], [""Orange"", ""Green""], [""Green"", ""Orange""], [""Green"", ""Orange""], [""Yellow"", ""Purple""], [""Green"", ""Orange""], [""Yellow"", ""Purple""], [""Yellow"", ""Purple""], [""Green"", ""Orange""]]";;;1;9;jh2otyuo;;;;;0
6;6jpggikb;55e876f25e4d360012cc283d;0;182;182;flowerfieldtask;Results;2026-02-06 13:25:16.151676;1;;;0.0;6;;0.0;;0.43;0.0;;ok;Anomaly no CT;Second phase;"[""Purple"", ""Yellow""]";"[[""Blue"", ""Red""], [""Yellow"", """"]]";[0.6, 0.5];0;"[""6"", ""5""]";[null, null];"[[""Red"", ""Blue""], [""Green"", ""Orange""], [""Red"", ""Blue""], [""Orange"", ""Green""], [""Purple"", ""Yellow""], [""Orange"", ""Green""], [""Orange"", ""Green""], [""Purple"", ""Yellow""], [""Green"", ""Orange""], [""Purple"", ""Yellow""], [""Yellow"", ""Purple""], [""Purple"", ""Yellow""], [""Orange"", ""Green""], [""Green"", ""Orange""], [""Green"", ""Orange""], [""Yellow"", ""Purple""], [""Green"", ""Orange""], [""Yellow"", ""Purple""], [""Yellow"", ""Purple""], [""Green"", ""Orange""]]";;;1;10;jh2otyuo;;;;;0
